track_name,name_of_artists,album_name,album_release_date,number_of_tracks_in_album,track_duration_ms,track_popularity
I Ain't Worried,['OneRepublic'],OneRepublic (Japan Paradise Tour Edition),2023-02-15,18,148120,51
golden hour,['JVKE'],this is what ____ feels like (Vol. 1-4),2022-09-23,12,209259,90
I Wanna Be Yours,['Arctic Monkeys'],AM,2013-09-09,12,183956,92
El Azul,"['Junior H', 'Peso Pluma']",El Azul,2023-02-10,1,187225,88
Mockingbird,['Eminem'],Encore (Deluxe Version),2004-11-12,23,250760,91
Players,['Coi Leray'],Players,2022-11-30,1,139560,92
Set Me Free Pt.2,['Jimin'],Set Me Free Pt.2,2023-03-17,1,200929,89
Feliz Cumpleaños Ferxxo,['Feid'],FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,2022-09-14,15,155960,89
Shorty Party,"['Cartel De Santa', 'La Kelly']",Shorty Party,2023-03-04,1,265000,90
Eyes Closed,['Ed Sheeran'],Eyes Closed (Piano Version),2023-03-23,2,194848,61
La Jumpa,"['Arcángel', 'Bad Bunny']",Sr. Santos,2022-12-01,18,255693,87
OMG,['NewJeans'],NewJeans 'OMG',2023-01-02,2,212253,93
Rara Vez,"['Taiu', 'Milo j']",Rara Vez,2023-02-08,1,128677,89
Flowers,['Miley Cyrus'],Endless Summer Vacation,2023-03-10,13,200600,88
TQG,"['KAROL G', 'Shakira']",MAÑANA SERÁ BONITO,2023-02-24,17,197933,97
Ella Baila Sola,"['Eslabon Armado', 'Peso Pluma']",Ella Baila Sola,2023-03-16,1,165671,91
Kill Bill,['SZA'],SOS,2022-12-08,23,153946,95
BESO,"['ROSALÍA', 'Rauw Alejandro']",RR,2023-03-24,3,194543,89
Boy's a liar Pt. 2,"['PinkPantheress', 'Ice Spice']",Boy's a liar Pt. 2,2023-02-03,2,131013,97
La Bebe - Remix,"['Yng Lvcas', 'Peso Pluma']",La Bebe (Remix),2023-03-17,2,234352,88
As It Was,['Harry Styles'],Harry's House,2022-05-20,13,167303,91
Die For You (with Ariana Grande) - Remix,"['The Weeknd', 'Ariana Grande']",Starboy (Deluxe),2023-03-14,21,232857,82
Yandel 150,"['Yandel', 'Feid']",Resistencia,2023-01-13,17,216148,89
"Shakira: Bzrp Music Sessions, Vol. 53","['Bizarrap', 'Shakira']","Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11,1,214945,97
FLOWER,['JISOO'],ME,2023-03-31,2,173134,73
Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']",HEROES & VILLAINS,2022-12-02,15,221520,96
Calm Down (with Selena Gomez),"['Rema', 'Selena Gomez']",Calm Down (with Selena Gomez),2022-08-25,1,239317,95
Like Crazy,['Jimin'],FACE,2023-03-24,6,212241,87
PRC,"['Peso Pluma', 'Natanael Cano']",PRC,2023-01-23,1,184066,92
AMG,"['Natanael Cano', 'Peso Pluma', 'Gabito Ballesteros']",AMG,2022-11-24,1,174942,92
Anti-Hero,['Taylor Swift'],Midnights,2022-10-21,13,200690,94
La Bachata,['Manuel Turizo'],2000,2023-03-17,15,162637,80
Unholy (feat. Kim Petras),"['Sam Smith', 'Kim Petras']",Gloria,2023-01-27,13,156943,86
Cupid - Twin Ver.,['FIFTY FIFTY'],The Beginning: Cupid,2023-02-24,3,174253,12
I'm Good (Blue),"['David Guetta', 'Bebe Rexha']",I'm Good (Blue),2022-08-26,2,175238,94
Coco Chanel,"['Eladio Carrion', 'Bad Bunny']",3MEN2 KBRN,2023-03-17,18,208125,89
Die For You,['The Weeknd'],Starboy,2016-11-24,18,260253,90
Hey Mor,"['Ozuna', 'Feid']",OzuTochi,2022-10-07,18,196600,91
Last Night,['Morgan Wallen'],One Thing At A Time,2023-03-03,36,163854,86
"Quevedo: Bzrp Music Sessions, Vol. 52","['Bizarrap', 'Quevedo']","Quevedo: Bzrp Music Sessions, Vol. 52",2022-07-06,1,198937,93
Here With Me,['d4vd'],Here With Me,2022-09-22,1,242484,93
El Azul,"['Junior H', 'Peso Pluma']",El Azul,2023-02-10,1,187225,88
"Arcángel: Bzrp Music Sessions, Vol. 54","['Bizarrap', 'Arcángel']","Arcángel: Bzrp Music Sessions, Vol. 54",2023-03-22,1,223019,86
Until I Found You (with Em Beihold) - Em Beihold Version,"['Stephen Sanchez', 'Em Beihold']",Until I Found You (Em Beihold Version),2022-04-22,1,176440,93
Like Crazy (English Version),['Jimin'],FACE,2023-03-24,6,212253,86
I Ain't Worried,['OneRepublic'],OneRepublic (Japan Paradise Tour Edition),2023-02-15,18,148120,52
Starboy,"['The Weeknd', 'Daft Punk']",Starboy,2016-11-25,18,230453,92
I Wanna Be Yours,['Arctic Monkeys'],AM,2013-09-09,12,183956,92
Escapism.,"['RAYE', '070 Shake']",My 21st Century Blues,2023-02-03,15,272373,81
Another Love,['Tom Odell'],Long Way Down,2013-06-17,10,244360,62
golden hour,['JVKE'],this is what ____ feels like (Vol. 1-4),2022-09-23,12,209259,90
Feliz Cumpleaños Ferxxo,['Feid'],FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,2022-09-14,15,155960,89
La Jumpa,"['Arcángel', 'Bad Bunny']",Sr. Santos,2022-12-01,18,255693,87
OMG,['NewJeans'],NewJeans 'OMG',2023-01-02,2,212253,93
Mockingbird,['Eminem'],Encore (Deluxe Version),2004-11-12,23,250760,91
Players,['Coi Leray'],Players,2022-11-30,1,139560,92
Rara Vez,"['Taiu', 'Milo j']",Rara Vez,2023-02-08,1,128677,89
El Gordo Trae El Mando,['Chino Pacas'],El Gordo Trae El Mando,2023-01-27,1,112087,89
